"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"male","group C","some college","free/reduced","none","69","68","67"
"female","group C","some college","free/reduced","completed","33","55","55"
"male","group A","high school","free/reduced","none","62","67","59"
"male","group D","high school","standard","none","77","75","76"
"female","group C","high school","standard","none","65","76","74"
"male","group D","associate's degree","standard","none","84","95","94"
"female","group D","some high school","free/reduced","completed","33","52","52"
"female","group E","bachelor's degree","standard","none","67","69","71"
"female","group C","some college","free/reduced","completed","60","72","68"
"male","group C","high school","free/reduced","completed","52","65","61"
"female","group E","high school","standard","none","61","57","60"
"female","group C","some college","free/reduced","completed","57","67","72"
"male","group B","associate's degree","free/reduced","none","50","45","40"
"male","group A","some college","free/reduced","none","50","41","40"
"male","group D","high school","standard","none","86","71","74"
"male","group C","some high school","standard","none","63","65","62"
"male","group D","bachelor's degree","standard","none","81","75","74"
"male","group D","some college","standard","completed","65","69","70"
"female","group A","high school","free/reduced","none","63","75","70"
"male","group E","some high school","standard","none","86","68","64"
"female","group C","some high school","free/reduced","completed","61","67","67"
